ID,Titre,Sous-titre,Date,Lien
LIB_2022_053,Covid-19: une infection après primo-vaccination compte-t-elle pour un rappel?,"Désormais, une personne infectée après avoir suivi un schéma vaccinal complet n’est plus obligée de recevoir une dose de rappel pour conserver son pass vaccinal.",2022-02-03,https://www.liberation.fr/checknews/covid-19-une-infection-apres-primo-vaccination-compte-t-elle-pour-un-rappel-20220202_MNFTGC76XZHUJO6GD6FHMDPQFY/
LIB_2023_054,Résurgence du Covid-19 : «La priorité est de comprendre le nouveau variant et préparer la campagne de vaccination»,"La présidente du Covars, Brigitte Autran, fait le point avec Libération sur la situation épidémiologique en France.",2023-08-22,https://www.liberation.fr/societe/sante/resurgence-du-covid-la-priorite-est-de-comprendre-le-nouveau-variant-et-preparer-la-campagne-de-vaccination-20230822_ENQW5OW3IJCOFOYRJWHABCC2II/
LIB_2022_055,"Vaccination contre le Covid-19: enfants partout, créneaux nulle part","Plus de deux semaines après l’ouverture de la vaccination des enfants, et au moment où ils n’ont jamais été aussi nombreux à être contaminés et hospitalisés, les places disponibles pour l’injection manquent cruellement, partout en France.",2022-01-07,https://www.liberation.fr/societe/vaccination-contre-le-covid-19-enfants-partout-creneaux-nulle-part-20220107_A7ITCWN2JNG45GCB6ZTYXZJWQI/
LIB_2022_056,Covid-19: crispations et silences autour de la vaccination et du télétravail des forces de l’ordre,"Policiers et gendarmes ne sont pas soumis aux mêmes obligations concernant la vaccination, et ces disparités créent des tensions internes. Par ailleurs, le télétravail, qui doit être privilégié, est loin d’être appliqué.",2022-01-25,https://www.liberation.fr/societe/police-justice/covid-19-crispations-et-silences-autour-de-la-vaccination-et-du-teletravail-des-forces-de-lordre-20220125_KY6P2KN7DRAFTIGDGRHOR7V2K4/
LIB_2023_057,"Covid-19 : pas besoin d’une nouvelle dose de vaccin pour les adultes en bonne santé, selon l’OMS","L’organisme mondial estime que les bénéfices pour la santé sont minimes. En revanche, il recommande fortement la deuxième dose de rappel pour les personnes les plus à risques.",2023-03-29,https://www.liberation.fr/societe/sante/covid-pas-besoin-dune-nouvelle-dose-de-vaccin-pour-les-adultes-en-bonne-sante-selon-loms-20230329_KEHSUOCWSBA4HLBI4GUBS5N5DQ/
LIB_2021_058,"Covid-19 : le vaccin, perturbateur «potentiel» du cycle menstruel","Règles plus longues ou plus courtes, en avance ou en retard, plus abondantes : des femmes évoquent de plus en plus l’effet qu’aurait le vaccin sur leur cycle menstruel. «Rien d’inquiétant», selon les gynécologues.",2021-08-04,https://www.liberation.fr/societe/covid-19-le-vaccin-perturbateur-potentiel-du-cycle-menstruel-20210804_KWM2O23HTRDQJJQEJIDK7WJYEY/
LIB_2021_059,"Covid-19 : les Etats-Unis autorisent pleinement le vaccin Pfizer, qui devient obligatoire dans l’armée","Ce lundi, les Etats-Unis ont pleinement approuvé le vaccin de l’alliance Pfizer-BioNTech pour les personnes de 16 ans et plus, une décision qui devrait aider à renforcer les efforts de vaccination dans le pays.",2021-08-23,https://www.liberation.fr/societe/sante/covid-19-les-etats-unis-autorisent-pleinement-le-vaccin-pfizer-qui-devient-obligatoire-dans-larmee-20210823_P74OS3XYHFFARPG6T62F5JD7OQ/
LIB_2021_060,Covid-19 : «La vaccination aurait déjà permis d’éviter environ 50 000 morts en France»,"Une équipe de chercheurs a modélisé ce qu’aurait été l’épidémie en France cette année sans la vaccination. Le pays aurait déploré deux fois plus de morts et de personnes en réanimation selon Samuel Alizon, co-auteur de cette étude.",2021-08-31,https://www.liberation.fr/societe/sante/covid-19-la-vaccination-aurait-deja-permis-deviter-environ-50-000-morts-en-france-20210831_OC6ZY5FAFBA6NI7CDB6KZO4RKI/
LIB_2021_061,Vaccins contre le Covid-19 : le grand récap,Quels sérums sont autorisés ? Pour quel public ? Avec quels risques ? Sont-ils efficaces ? Comment fonctionnent-ils ? Et sur les variants ? «Libé» fait le point.,2021-08-10,https://www.liberation.fr/societe/sante/vaccins-contre-le-covid-19-le-grand-recap-20210520_WTUTQ7JXSRC5LKE34NJCV6G5KY/
LIB_2021_062,Covid-19 : la vaccination conduit-elle à rendre un test PCR positif ?,"Plusieurs internautes assurent qu’après un vaccin, un test de recherche du sars-Cov-2 sera concluant. C'est faux.",2021-05-26,https://www.liberation.fr/checknews/covid-19-la-vaccination-conduit-elle-a-rendre-un-test-pcr-positif-20210526_NRNVMLPAUVG3FD7B56GP3IHQKA/
LIB_2021_063,Covid-19 : où en est la campagne de vaccination en France ?,"Avec près des trois-quarts de la population ayant reçu une première dose, le pays se classe désormais parmi les plus vaccinés au monde. Mais le rythme des injections a nettement ralenti depuis le milieu de l’été.",2021-09-01,https://www.liberation.fr/checknews/covid-19-ou-en-est-la-campagne-de-vaccination-en-france-20210901_C34XX63KLZAQ7PEYAEKODC4OOQ/
