Titre;Sous-titre;Date;Lien
Maxime Tandonnet: «La constitutionnalisation de l'IVG est une pure manœuvre politique»;FIGAROVOX/TRIBUNE - Ce 24 novembre, l'Assemblée nationale a adopté la proposition de loi sur la constitutionnalisation de l'IVG. Aucune force politique ne menaçant l'avortement en France, il s'agit d'un écran de fumée pour cacher l'état dramatique du pays, argumente l'essayiste.;28/11/2022;https://www.lefigaro.fr/vox/societe/maxime-tandonnet-la-constitutionnalisation-de-l-ivg-est-une-pure-manoeuvre-politique-20221128
Gérald Kierzek: «La réintégration des soignants non vaccinés est une mesure de bon sens»;FIGAROVOX/ENTRETIEN - Alors que les députés de La France insoumise ont échoué, ce 24 novembre, à faire adopter le texte pour la réintégration des soignants non vaccinés, l'urgentiste défend cette mesure qui permettrait, selon lui, d'apaiser la situation dans l'hôpital public.;25/11/2022;https://www.lefigaro.fr/vox/societe/gerald-kierzek-la-reintegration-des-soignants-non-vaccines-est-une-mesure-de-bon-sens-20221125
La vaccination contre la grippe est insuffisante pour la saison;Le médecin-conseil national de l'Assurance maladie alerte sur le retard enregistré auprès des personnes les plus à risques de formes graves.;17/11/2022;https://www.lefigaro.fr/sciences/la-vaccination-contre-la-grippe-est-insuffisante-pour-la-saison-20221117
Covid-19 : pourquoi la campagne de quatrième dose de vaccin piétine-t-elle chez les plus de 60 ans ?;DÉCRYPTAGE - Lancée en avril dernier, la campagne de second rappel vaccinal peine à convaincre chez les plus de 60 ans.;18/11/2022;https://www.lefigaro.fr/actualite-france/covid-19-pourquoi-la-campagne-de-quatrieme-dose-de-vaccin-pietine-t-elle-chez-les-plus-de-60-ans-20221118
Bronchiolite: une épidémie difficile à analyser;Plus précoce, plus forte: la vague qui affecte la France ne correspond plus aux repères pré-Covid.;11/11/2022;https://www.lefigaro.fr/sciences/pourquoi-l-epidemie-de-bronchiolite-est-elle-si-forte-20221111
Le retour du masque jugé «nécessaire» par l'Académie de médecine face à la triple épidémie de Covid, bronchiolite et grippe;L'institution de la rue Bonaparte craint les co-infections qui pourraient peser sur les services hospitaliers.;05/11/2022;https://www.lefigaro.fr/sciences/le-retour-du-masque-juge-necessaire-par-l-academie-de-medecine-face-la-triple-epidemie-de-covid-bronchiolite-et-grippe-20221105
Djokovic, Nadal, Alcaraz, Auger-Aliassime: des stars et des enjeux à Bercy;TENNIS - Avec un plateau de gala ainsi que des enjeux multiples, la semaine de tennis à Paris s’annonce magnifique.;30/10/2022;https://www.lefigaro.fr/sports/tennis/djokovic-nadal-alcaraz-auger-aliassime-des-stars-et-des-enjeux-a-bercy-20221030
La pneumonie est très dangereuse pour les plus âgés;En France, 90 % des décès par pneumonies ont lieu chez les plus de 65 ans. Attention aux premiers signes de l'infection.;25/10/2022;https://sante.lefigaro.fr/social/sante-publique/la-pneumonie-est-tres-dangereuse-pour-les-plus-ages-20221025
Covid : le nouveau conseil scientifique prône le rappel vaccinal et le retour du masque;Pour cet hiver, les experts du nouveau Comité de veille et d'anticipation des risques sanitaires redoutent le poids cumulé des épidémies de Covid, de grippe et de bronchiolite sur un système de santé déjà fragilisé.;24/10/2022;https://www.lefigaro.fr/sciences/covid-le-nouveau-conseil-scientifique-prone-le-rappel-vaccinal-et-le-retour-du-masque-20221024
Contre le Covid, les vaccins nasaux restent une piste à suivre;Deux candidats chinois et indien ont déjà lancé leurs vaccins nasaux mais les Français peinent à trouver des sources de financement.;18/10/2022;https://sante.lefigaro.fr/contre-le-covid-les-vaccins-nasaux-restent-une-piste-a-suivre-20221018
Le saviez-vous ? Ce site recense tous les rendez-vous pour obtenir son passeport plus rapidement;PRATIQUE - Une plateforme gratuite permet d'accélérer les démarches en facilitant la prise de rendez-vous en vue d'obtenir ou de renouveler ses papiers d'identité en mairie.;17/10/2022;https://www.lefigaro.fr/voyages/conseils/le-saviez-vous-ce-site-recense-tous-les-rendez-vous-pour-obtenir-votre-passeport-plus-rapidement-20221017
Grippe : en pleine vague de Covid-19, la campagne de vaccination commence ce mardi;Les autorités espèrent éviter une lourde épidémie de grippe, dans un contexte sanitaire déjà marqué par une nouvelle vague de Covid-19.;17/10/2022;https://sante.lefigaro.fr/grippe-en-pleine-vague-de-covid-19-la-campagne-de-vaccination-commence-ce-mardi-20221017
Covid-19 : face à l'augmentation des cas, l'Allemagne renoue avec le masque obligatoire;Depuis le 1er octobre, le masque FFP2 est à nouveau obligatoire dans les trains, les hôpitaux ou les centres de soins. Face à la hausse des cas, le gouvernement fédéral appelle encore à un durcissement.;16/10/2022;https://www.lefigaro.fr/international/covid-19-face-a-l-augmentation-des-cas-l-allemagne-renoue-avec-le-masque-obligatoire-20221016
Covid-19 : 5.300 personnes actuellement hospitalisées;Le gouvernement a lancé ce mercredi un nouvel appel à la « vigilance » face à la « résurgence » de l'épidémie de Covid-19. Il invite les personnes éligibles à se faire vacciner et à porter le masque.;12/10/2022;https://sante.lefigaro.fr/covid-19-5-300-personnes-actuellement-hospitalisees-20221012
Selon l'OMS, il n'y a pas assez de données pour recommander les vaccins anti-Covid bivalents;L'OMS pointe du doigt « l'effet relativement modeste » des nouveaux vaccins bivalents contre Omicron par rapport aux anciens vaccins. L'insuffisance de données actuelle empêcherait de formuler des recommandations en leur faveur.;12/10/2022;https://sante.lefigaro.fr/selon-l-oms-il-n-y-a-pas-assez-de-donnees-pour-recommander-les-vaccins-anti-covid-bivalents-20221012
Le Japon rouvre en grand aux touristes : tout ce qu'il faut savoir;Après deux ans et demi de fermeture quasi totale et de légers assouplissements depuis juin, le pays du Soleil Levant rouvre aux touristes individuels sans visa ce mardi 11 octobre.;10/10/2022;https://www.lefigaro.fr/voyages/conseils/voyage-au-japon-et-covid-19-allegements-test-anti-covid-les-formalites-pour-y-voyager-20220901
Bruno Latour : «La crise sanitaire est une question de vie ou de mort, la mutation écologique aussi»;INTERVIEW.- L’anthropologue des sciences s'est éteint ce dimanche 9 octobre, à 75 ans. En 2020, il parlait à Madame Figaro des risques de la mutation écologique, selon lui aussi menaçante que la crise sanitaire.;08/06/2020;https://madame.lefigaro.fr/societe/bruno-latour-interview-philosophie-crise-sanitaire-covid-19-ecologie-280520-181153
Israël abandonne toutes les restrictions de voyage liées au Covid-19;À partir de ce dimanche 9 octobre, les voyageurs ne sont plus tenus de remplir un formulaire pour entrer dans le pays.;09/10/2022;https://www.lefigaro.fr/voyages/israel-abandonne-toutes-les-restrictions-de-voyage-liees-au-covid-19-20221009
Covid-19: le port du masque recommandé dans les transports par la présidente du Comité de veille et d'anticipation des risques sanitaires;Brigitte Autran, présidente du Covars qui a succédé au Conseil scientifique, a précisé que cette nouvelle vague de coronavirus ne l'inquiétait pas.;30/09/2022;https://www.lefigaro.fr/sciences/covid-19-le-port-du-masque-recommande-dans-les-transports-par-la-presidente-du-comite-de-veille-et-d-anticipation-des-risques-sanitaires-20220930
Paris, Nice, Dunkerque, Le Touquet : ce qui est interdit, ce qui reste autorisé le week-end en raison du Covid;INFOGRAPHIE - Voici les motifs pour lesquels les Parisiens, les Niçois, les Dunkerquois et les Calaisiens ont le droit de se déplacer durant leur week-end.;03/03/2021;https://www.lefigaro.fr/alpes-maritimes-dunkerque-ce-qui-est-interdit-ce-qui-reste-autorise-le-week-end-en-raison-du-covid-20210303
Europe du sud : où partir en week-end et pour vos vacances d'été ?;Espagne, Grèce, Italie, Portugal, Croatie, Malte... Toute l'Europe du sud est désormais accessible avec un simple test PCR. Nos inspirations pour trouver votre destination pour juin, juillet et août dans ces destinations touristiques très prisées des Français.;18/05/2021;https://www.lefigaro.fr/voyages/inspiration/portugal-italie-l-europe-du-sud-rouvre-aux-francais-ou-partir-en-week-end-et-pour-vos-vacances-d-ete-20210518
Nouveaux vaccins Covid : la campagne de rappel démarre lundi 3 octobre;Alors que les contaminations repartent à la hausse une campagne de rappel vise à atténuer la reprise épidémique, due en majorité aux sous-variants d'Omicron.;27/09/2022;https://sante.lefigaro.fr/nouveaux-vaccins-covid-la-campagne-de-rappel-demarrera-le-3-octobre-20220927
Tennis : Novak Djokovic lance le sprint final de sa drôle de saison à Tel Aviv;Joueur intermittent en 2022, en raison de sa non-vaccination au Covid-19, le Serbe espère terminer en boulet de canon sa saison hachée.;28/09/2022;https://www.lefigaro.fr/sports/tennis/tennis-novak-djokovic-lance-le-sprint-final-de-sa-drole-de-saison-a-tel-aviv-20220928
Covid-19 : Pfizer demande l'autorisation de son vaccin pour les enfants de 5-11 ans aux États-Unis;Les enfants américains âgés de 5 à 11 ans pourraient se voir autoriser l'accès au vaccin contre Omicron. Face à l'urgence, ce sont les groupes Pfizer et BioNTech qui en ont fait la requête.;26/09/2022;https://sante.lefigaro.fr/covid-19-pfizer-demande-l-autorisation-de-son-vaccin-pour-les-enfants-de-5-11-ans-aux-etats-unis-20220926
Avant-première : grand retour au Japon;Prêt-à-partir, la newsletter hebdomadaire du Figaro Voyage.;23/09/2022;https://www.lefigaro.fr/voyages/le-japon-rouvre-enfin-aux-touristes-notre-guide-complet-pour-preparer-votre-voyage-20220923
